ID,Type,Name,Place,Sleeps,Bedrooms,Bathrooms,Prices from (£/week),Price band,Tags,Tagline,Description (from the site),Page,Enabled,Notes / TBC,Owner: correct?,Owner: comment
drakes-dyke,cottage,Drakes Dyke,Wroxham,6,3,2,876,700-1000,pet-friendly; moorings; river-view; waterside; fishing; garden; wroxham,"Sleeps 6 in Wroxham, on the main river, with a mooring.",A stunning glass fronted holiday cottage in Wroxham that sleeps 6. Drakes Dyke is on the main River Bure in Wroxham.,https://www.riverside-rentals.co.uk/property/drakes-dyke/,yes,,,
dutch-cottage,cottage,Dutch Cottage,Horning,6,2,1,656,under-700,moorings; waterside; single-level; village-centre; garden; parking; fireplace; family-friendly; horning,"Sleeps 6 in Horning, by the water, with a mooring.",Dutch Cottage on Ferry Road in Horning is a lovelingly updated cottage built in 1934. This cottage sits on its own basin just off the main river but still with river views and walking distance from the Ferry Inn pub and just a short walk to the village amenities.,https://www.riverside-rentals.co.uk/property/dutch-cottage/,yes,,,
dydle-down,cottage,Dydle Down,Potter Heigham,4,2,1,445,under-700,moorings; river-view; waterside; single-level; small; fishing; garden; potter-heigham,"Sleeps 4 in Potter Heigham, on the main river, with a mooring.","Dydle Down, Sleeps 4, Perfect cottage retreat for fishing and family holiday memories. You can sit on the banks of the River Bure in Potter Heigham on the Norfolk Broads and watch the world float by. Norfolk Broads holiday cottages on the riverside.",https://www.riverside-rentals.co.uk/property/dydle-down/,yes,,,
fennel,cottage,Fennel,Catfield,4,2,2,524,under-700,pet-friendly; waterside; small; fishing; parking; family-friendly; catfield,"Sleeps 4 in Catfield, by the water, dogs welcome.",Pet-friendly high quality barn conversion holiday property in How Hill. Peaceful location perfect for dog walking and fishing lake just over the road.,https://www.riverside-rentals.co.uk/property/fennel/,yes,,,
ferry-view,cottage,Ferry View,Horning,10,4,3,1425,1000-1500,pet-friendly; moorings; river-view; waterside; big-group; fishing; garden; parking; family-friendly; horning,"Sleeps 10 in Horning, on the main river, with a mooring.","Ferry View is the place to go if you want a holiday cottage with outstanding views over Broadland and Marshland. Sleeping up to 10 guests, it is large enough for a family get together.",https://www.riverside-rentals.co.uk/property/ferry-view/,yes,,,
ferryman-cottage,cottage,Ferryman Cottage,Horning,6,3,1,873,700-1000,moorings; river-view; waterside; single-level; fishing; garden; parking; family-friendly; horning,"Sleeps 6 in Horning, on the main river, with a mooring.","Holiday cottage in Horning that sleeps 5 + 1 people, Ferryman Cottage",https://www.riverside-rentals.co.uk/property/ferryman-cottage/,yes,,,
heron-cottage,cottage,Heron Cottage,Horning,6,3,2,770,700-1000,moorings; waterside; single-level; day-boat; fishing; village-centre; garden; parking; horning,"Sleeps 6 in Horning, by the water, with a mooring.","Sleeps 6, Situated in the picturesque village of Horning in the heart of the Broadland, Heron Cottage occupies an enviable position at the head of a quiet side-dyke with uninterrupted views of the main River Bure. Built by the local craftsman, Heron Cottage maintains an old world charm being of traditional, timber construction under a Norfolk reed thatched roof, whilst affording all the comforts of modern day living.",https://www.riverside-rentals.co.uk/property/heron-cottage/,yes,,,
high-meadow,cottage,High Meadow,Belaugh,8,4,3,835,700-1000,moorings; river-view; waterside; big-group; fishing; garden; parking; family-friendly; belaugh,"Sleeps 8 in Belaugh, on the main river, with a mooring.","High Meadow is nestled away in the little village of Belaugh a short drive from Wroxham. This holiday cottage sleeps 8 and enjoys beautiful river and meadow views, perfect for anyone who loves a bit of nature.",https://www.riverside-rentals.co.uk/property/high-meadow/,yes,,,
holkham-cottage,cottage,Holkham Cottage,Wroxham,4,2,1,535,under-700,pet-friendly; moorings; river-view; waterside; small; fishing; village-centre; parking; wroxham,"Sleeps 4 in Wroxham, on the main river, with a mooring.","This bright and airy terrace property is right in the heart of Wroxham next to the famous Wroxham Bridge. Perfect base for exploring the Broads, just minutes to walk into",https://www.riverside-rentals.co.uk/property/holkham-cottage/,yes,,,
kingfisher-lodge,cottage,Kingfisher Lodge,Wroxham,6,3,2,755,700-1000,pet-friendly; moorings; waterside; single-level; fishing; village-centre; garden; family-friendly; wroxham,"Sleeps 6 in Wroxham, by the water, with a mooring.","Pet-friendly holiday cottage that sleeps 6 guests set right on the banks of the River Bure in Wroxham, near to the heart of the village, perfect walking distance from all of the shops and eateries.",https://www.riverside-rentals.co.uk/property/kingfisher-lodge/,yes,,,
marchesi,cottage,Marchesi,Wroxham,4,2,1,594,under-700,moorings; river-view; waterside; small; village-centre; garden; parking; family-friendly; wroxham,"Sleeps 4 in Wroxham, on the main river, with a mooring.","This bright and airy terrace holiday property sleeps 4 and is right in the heart of Wroxham. Perfect base for exploring the Broads, just minutes to walk into Wroxham",https://www.riverside-rentals.co.uk/property/marchesi/,yes,,,
margherita,cottage,Margherita,Wroxham,4,2,2,550,under-700,moorings; waterside; small; fishing; village-centre; garden; parking; family-friendly; wroxham,"Sleeps 4 in Wroxham, by the water, with a mooring.","A cosy holiday cottage that sleeps 4 in the popular Broadland Village of Wroxham, a short walk from the center including shops and restaurants. Private mooring space for day boat hire or fishing.",https://www.riverside-rentals.co.uk/property/margherita/,yes,,,
martham-mill,cottage,Martham Mill,Martham,4,2,1,996,700-1000,pet-friendly; moorings; river-view; waterside; small; day-boat; fishing; martham,"Sleeps 4 in Martham, on the main river, with a mooring.","This unique holiday property offers you the chance to stay in a Norfolk Windmill. Sleeping 4, The Mill stands proud in its own enclosed garden surrounded by idyllic Broadland Marshes. Fishing boat available to hire.",https://www.riverside-rentals.co.uk/property/martham-mill/,yes,,,
melrose,cottage,Melrose,Potter Heigham,6,3,1,536,under-700,pet-friendly; moorings; river-view; waterside; single-level; fishing; garden; parking; family-friendly; potter-heigham,"Sleeps 6 in Potter Heigham, on the main river, with a mooring.",This tardis of a cottage sleeps 6 and sits on the North East Riverbank of the River Thurne towards Martham. Lots of main river frontage here for fishing and a large shed with fisherman's bait fridge.,https://www.riverside-rentals.co.uk/property/melrose/,yes,,,
moon-river-cottage,cottage,Moon River Cottage,Potter Heigham,4,2,1,515,under-700,pet-friendly; moorings; river-view; waterside; single-level; small; fishing; garden; potter-heigham,"Sleeps 4 in Potter Heigham, on the main river, with a mooring.","A traditional Broads holiday cottage on the banks of the River Thurne at Potter Heigham, perfect for your family holiday by the river or fishing breaks. Pet-friendly, sleeps 4.",https://www.riverside-rentals.co.uk/property/moon-river-cottage/,yes,,,
owlswick,cottage,Owlswick,Horning,6,3,2,927,700-1000,pet-friendly; moorings; waterside; single-level; fishing; village-centre; garden; parking; horning,"Sleeps 6 in Horning, by the water, with a mooring.","Owlswick is a traditional holiday cottage in the heart of Horning village. Sleeping 6 + 1 guests and pet-friendly, it sits on a backwater in the center of the village, water on 3 sides.",https://www.riverside-rentals.co.uk/property/owlswick/,yes,,,
parsley,cottage,Parsley,Catfield,4,2,1,487,under-700,pet-friendly; waterside; single-level; hot-tub; small; fishing; garden; parking; family-friendly; catfield,"Sleeps 4 in Catfield, by the water, with a hot tub.",Barn conversion holiday property with all you could wish for to enjoy your holiday in the quiet Broadland village of How Hill. Fishing lake for residents just across the road.,https://www.riverside-rentals.co.uk/property/parsley/,yes,,,
patikipa,cottage,Patikipa,Potter Heigham,2,1,1,472,under-700,pet-friendly; moorings; river-view; waterside; single-level; for-two; small; fishing; garden; family-friendly; potter-heigham,"Sleeps 2 in Potter Heigham, on the main river, with a mooring.","Traditional river bank holiday cottage on the River Thurne in Potter Heigham. Sleeps 2, pet-friendly",https://www.riverside-rentals.co.uk/property/patikipa/,yes,,,
poppy,cottage,Poppy,How Hill,2,1,TBC,546,under-700,pet-friendly; for-two; small; village-centre; garden; how-hill,"Sleeps 2 in How Hill, dogs welcome.","A cute shepherds hut for holidays for 2 in the heart of the Norfolk Broads. Set in its own enclosure with electric, tea and coffee making facilities and free Wifi.",https://www.riverside-rentals.co.uk/property/poppy/,yes,Bathrooms not listed on the site: TBC.,,
rebel,cottage,Rebel,Wroxham,4,2,1,594,under-700,pet-friendly; river-view; waterside; small; village-centre; garden; parking; family-friendly; wroxham,"Sleeps 4 in Wroxham, on the main river, dogs welcome.","This bright and airy terrace holiday property sleeps 4 and is right in the heart of Wroxham. Perfect base for exploring the Broads, just minutes to walk into",https://www.riverside-rentals.co.uk/property/rebel/,yes,,,
rendezvous,cottage,Rendezvous,Wroxham,4,2,2,927,700-1000,moorings; river-view; waterside; small; day-boat; fishing; village-centre; garden; wroxham,"Sleeps 4 in Wroxham, on the main river, with a mooring.","Rendezvous is an ultra modern new house on Meadow Drive Wroxham. On the main river Bure and a short walk from the village centre. The upstairs lounge gives you amazing views over the river, large veranda outside the bi-fold doors give the best of the outside inside too. It won't disappoint.",https://www.riverside-rentals.co.uk/property/rendezvous/,yes,,,
riverside-lodge,cottage,Riverside Lodge,Brundall,4,2,2,690,under-700,pet-friendly; moorings; river-view; waterside; single-level; small; fishing; garden; family-friendly; brundall,"Sleeps 4 in Brundall, on the main river, with a mooring.","Riverside holiday home, Riverside Lodge sits on the banks of the river Yare in Brundall, this unique property sleeps up to 4 guests with private mooring. Brundall has rail links to Norwich and Great Yarmouth. Fishing right from your doorstep too.",https://www.riverside-rentals.co.uk/property/riverside-lodge/,yes,,,
riversmead-cottage,cottage,Riversmead Cottage,Horning,8,4,3,1409,1000-1500,pet-friendly; moorings; river-view; waterside; single-level; big-group; garden; horning,"Sleeps 8 in Horning, on the main river, with a mooring.","A beautiful riverside cottage in Horning that stands on the main River Bure. Sleeps up to 8 people and is perfect for your family break to fish, watch the wildlife or simply to relax by the river.",https://www.riverside-rentals.co.uk/property/riversmead-cottage/,yes,,,
rookery-lakes-cabin,cottage,Rookery Lakes Cabin,Halvergate,6,3,2,1259,1000-1500,pet-friendly; waterside; single-level; fishing; garden; parking; family-friendly; halvergate; rural,"Sleeps 6 in Halvergate, by the water, all on one level.",Angling holidays in Norfolk with families and pets welcome. Cabin sleeping 6 and private fishing lakes.,https://www.riverside-rentals.co.uk/property/rookery-lakes-cabin/,yes,,,
royal-retreat,cottage,Royal Retreat,Wroxham,6,3,1,772,700-1000,moorings; waterside; single-level; day-boat; fishing; parking; wroxham,"Sleeps 6 in Wroxham, by the water, with a mooring.","Royal Retreat is a stunning holiday property that sleeps 6 on the riverside in Wroxham/Hoveton, just off the main river. Walking distance to local amenities and perfect for a little 'Retreat' for your family.",https://www.riverside-rentals.co.uk/property/royal-retreat/,yes,,,
swan-cottage,cottage,Swan Cottage,Horning,8,4,2,852,700-1000,pet-friendly; big-group; parking; horning,"Sleeps 8 in Horning, dogs welcome.","Holiday cottage in Horning that sleeps 8 people, Swan Cottage",https://www.riverside-rentals.co.uk/property/swan-cottage/,yes,,,
the-boat-house,cottage,The Boat House,Horning,8,4,2,1100,1000-1500,pet-friendly; moorings; river-view; waterside; big-group; parking; family-friendly; horning,"Sleeps 8 in Horning, on the main river, with a mooring.",The Boat House in Horning on the River Bure is ideal for those families set back at the end of the dyke you still have views over the marshland in front of you from the beautiful balcony and lounge that sits on the first floor of this boat house.,https://www.riverside-rentals.co.uk/property/the-boat-house/,yes,,,
the-cottage,cottage,The Cottage,Reedham,6,3,1,760,700-1000,pet-friendly; moorings; river-view; waterside; family-friendly; reedham,"Sleeps 6 in Reedham, on the main river, with a mooring.",This gorgeous pet-friendly holiday cottage sleeps 6 and is hidden away down a quiet back street in Reedham.,https://www.riverside-rentals.co.uk/property/the-cottage/,yes,,,
the-firs,cottage,The Firs,Wroxham,4,2,2,695,under-700,moorings; waterside; single-level; small; day-boat; fishing; village-centre; garden; parking; step-free; family-friendly; wroxham,"Sleeps 4 in Wroxham, by the water, with a mooring.","Superb living accommodation right in the heart of Wroxham and Hoveton. Right on the water front for your Norfolk Broads break whether its for fishing, wildlife watching or just chilling out.",https://www.riverside-rentals.co.uk/property/the-firs/,yes,,,
the-moorings,cottage,The Moorings,Wroxham,4,2,2,625,under-700,pet-friendly; moorings; waterside; single-level; small; fishing; village-centre; garden; parking; step-free; family-friendly; wroxham,"Sleeps 4 in Wroxham, by the water, with a mooring.","The Moorings superb living accommodation right in the heart of Wroxham and Hoveton. Right on the water front for your Norfolk Broads break whether its for fishing, wildlife watching or just chilling out.",https://www.riverside-rentals.co.uk/property/the-moorings/,yes,,,
the-river-house,cottage,The River House,Repps with Bastwick,7,3,1,951,700-1000,pet-friendly; moorings; river-view; waterside; single-level; fishing; family-friendly; repps,"Sleeps 7 in Repps with Bastwick, on the main river, with a mooring.","The River House, Sleeps 7, Pet Friendly, Perfect cottage retreat for fishing and family holiday memories. You can sit on the banks of the River Bure in Potter / Repps on the Norfolk Broads and watch the world float by. Norfolk Broads holiday cottages on the riverside.",https://www.riverside-rentals.co.uk/property/the-river-house/,yes,,,
the-sheriff-house,cottage,The Sheriff House,Wroxham,16,8,4,3096,over-1500,pet-friendly; moorings; river-view; waterside; single-level; big-group; garden; parking; family-friendly; wroxham,"Sleeps 16 in Wroxham, on the main river, with a mooring.","The Sheriff House is believed to have been built in 1904. The holiday cottage is in a fabulous location on Beech Road in Wroxham on a quiet plot of over 3 acres, with over 100 metres of direct river frontage onto the River Bure.",https://www.riverside-rentals.co.uk/property/the-sheriff-house/,yes,,,
the-willows,cottage,The Willows,Horning,4,3,1,769,700-1000,moorings; river-view; waterside; single-level; small; fishing; parking; family-friendly; horning,"Sleeps 4 in Horning, on the main river, with a mooring.",A delightful thatched bungalow set on the banks of the River Bure. A pure holiday home on from property with stunning gardens.,https://www.riverside-rentals.co.uk/property/the-willows/,yes,,,
the-willows-wroxham,cottage,The Willows Wroxham,Wroxham,10,5,3,1409,1000-1500,moorings; river-view; waterside; big-group; fishing; garden; wroxham,"Sleeps 10 in Wroxham, on the main river, with a mooring.",The Willows is a stunning 5 bedroom holiday property that sleeps 10 guests. It is located in a prime spot in Wroxham on the banks of the River Bure.,https://www.riverside-rentals.co.uk/property/the-willows-wroxham/,yes,,,
waters-edge,cottage,Waters Edge,Potter Heigham,6,2,1,566,under-700,pet-friendly; moorings; river-view; waterside; single-level; fishing; potter-heigham,"Sleeps 6 in Potter Heigham, on the main river, with a mooring.","Perfect retreat for fishing and family memories, large decked area perfect for fishing or just simply relaxing. Sleeps 6 guests and is dog-friendly.",https://www.riverside-rentals.co.uk/property/waters-edge/,yes,,,
waters-edge-cottage-wroxham,cottage,Waters Edge Cottage – Wroxham,Wroxham,8,4,2,1264,1000-1500,moorings; river-view; waterside; single-level; big-group; fishing; garden; parking; family-friendly; wroxham,"Sleeps 8 in Wroxham, on the main river, with a mooring.",A stunning holiday property on the main river in Wroxham. Large waterside garden perfect for fishing and relaxing with ramp access. Free Wifi included.,https://www.riverside-rentals.co.uk/property/waters-edge-cottage-wroxham/,yes,,,
westbury,cottage,Westbury,Horning,8,4,2,1018,1000-1500,pet-friendly; moorings; river-view; waterside; big-group; village-centre; garden; parking; horning,"Sleeps 8 in Horning, on the main river, with a mooring.","A delightful riverside townhouse for self-catering holidays in Horning. With its own private garden and mooring, Westbury sleeps 8 and is pet-friendly. It's situated right in the heart of the village with beautiful views of the river.",https://www.riverside-rentals.co.uk/property/westbury/,yes,,,
wherry-cottage,cottage,Wherry Cottage,Neatishead,7,4,1,1037,1000-1500,pet-friendly; moorings; waterside; garden; parking; family-friendly; neatishead,"Sleeps 7 in Neatishead, by the water, with a mooring.","Wherry Cottage (sleeps 7) is a charming brick built 4 bedroom Wherryman’s Cottage (John Gay, Wherryman 1843 to 1926). Wherry is peacefully set within beautiful gardens with a private slipway it is in an ideal location for local watersports.",https://www.riverside-rentals.co.uk/property/wherry-cottage/,yes,,,
wherrymere,cottage,Wherrymere,Horning,8,4,2,855,700-1000,pet-friendly; moorings; waterside; big-group; fishing; parking; family-friendly; horning,"Sleeps 8 in Horning, by the water, with a mooring.","Set in an exclusive and modern marina development in Horning, Wherrymere offers fishing from the back door and its own private mooring and parking",https://www.riverside-rentals.co.uk/property/wherrymere/,yes,,,
wildwood,cottage,Wildwood,Wroxham,6,3,3,1550,over-1500,moorings; river-view; waterside; single-level; fishing; garden; parking; family-friendly; wroxham,"Sleeps 6 in Wroxham, on the main river, with a mooring.",A stunning holiday property on the main river in Wroxham. Large waterside garden perfect for fishing and relaxing with ramp access. Free Wifi included.,https://www.riverside-rentals.co.uk/property/wildwood/,yes,,,
willow-lodge,cottage,Willow Lodge,Horning,9,4,3,1409,1000-1500,pet-friendly; moorings; river-view; waterside; single-level; big-group; garden; parking; step-free; family-friendly; horning,"Sleeps 9 in Horning, on the main river, with a mooring.",Willow Lodge provides pet-friendly holiday accommodation on the Norfolk Broads. Norfolk Broads holidays with panoramic views of the river.,https://www.riverside-rentals.co.uk/property/willow-lodge/,yes,,,
norfolk-girl-picnic-boat,boat,Norfolk Girl,Horning,8,0,1,TBC,TBC,boat,"Picnic boat, seats 8, with a bathroom on board.",Why not hire Norfolk Girl along with your holiday cottage for the week. It is easy to sail around the Norfolk Broads and has a sliding canopy in case of rain which can be removed during dry and sunny times.,https://www.riverside-rentals.co.uk/property/norfolk-girl-picnic-boat/,yes,Price not shown on the listing page: TBC. Capacity from the boat-hire listing.,,
bertie-boat,boat,Bertie Boat,Horning,7,0,0,TBC,TBC,boat; pet-friendly,"Day boat, seats 7. Easy to drive, pets welcome.","Easy to drive, no experience necessary. All weather cruising, pets welcome. Price is for 5 day hire Sunday to Friday.",https://www.riverside-rentals.co.uk/property/bertie-boat/,yes,Price not shown on the listing page: TBC. Capacity from the boat-hire listing.,,
moorhen-picnic-boat,boat,Moorhen,Horning,8,0,1,TBC,TBC,boat; pet-friendly,"Sheerline 24 picnic boat, seats 8, with a bathroom on board.","Moorhen is a Sheerline 24 (24ft long). Easy to drive, no experience necessary. All weather cruising, pets welcome.",https://www.riverside-rentals.co.uk/property/moorhen-picnic-boat/,yes,Price not shown on the listing page: TBC. Capacity from the boat-hire listing.,,
rambler-picnic-boat,boat,Rambler,Horning,7,0,1,TBC,TBC,boat,"Picnic boat, seats 7, moored in Horning.","Rambler day boat can be hired with your holiday cottage for the week on the Norfolk Broads. Moored in Horning, Rambler can be kept at your holiday cottage during your stay.",https://www.riverside-rentals.co.uk/property/rambler-picnic-boat/,yes,Price not shown on the listing page: TBC. Capacity from the boat-hire listing.,,
mr-pip-picnic-boat,boat,Mr Pip,Horning,7,0,1,TBC,TBC,boat,"Ensign 21 day boat, seats 7, hired Sunday to Friday.",Why not hire an Ensign 21 Day Boat along with your holiday cottage for the week. Boats are hired from Sunday AM to Friday PM when booked for a full week.,https://www.riverside-rentals.co.uk/property/mr-pip-picnic-boat/,yes,Price not shown on the listing page: TBC. Capacity from the boat-hire listing.,,
